metrica,metodo_a,metodo_b,numero_pares,media_a,media_b,mediana_a,mediana_b,diferencia_media_b_menos_a,diferencia_mediana_b_menos_a,estadistico_wilcoxon,p_wilcoxon,rank_biserial_signos_aprox,p_wilcoxon_holm,significativo_0_05_holm
eventos_casi_colision_real,A* + TD3,A* + SAC-UPO-TTC,200,0.48,0.205,0.0,0.0,-0.275,0.0,658.5,7.630860873202627e-08,-0.6341463414634146,6.867774785882365e-07,1
eventos_casi_colision_real,A* + SAC-R,A* + SAC-PO-TTC,200,0.26,0.155,0.0,0.0,-0.105,0.0,116.5,0.000543594502309532,-0.6470588235294118,0.003261567013857192,1
eventos_casi_colision_real,A* + SAC-R,A* + SAC-UPO-TTC,200,0.26,0.205,0.0,0.0,-0.055,0.0,363.0,0.1423691685259934,-0.2558139534883721,0.5694766741039736,0
eventos_casi_colision_real,A* + SAC-PO-TTC,A* + SAC-UPO-TTC,200,0.155,0.205,0.0,0.0,0.05,0.0,210.0,0.09827745667636652,0.29411764705882354,0.4913872833818326,0
tiempo_en_casi_colision_s,A* + DWA,A* + TD3,200,0.20450000000000002,0.37400000000000005,0.0,0.0,0.16949999999999998,0.0,1189.0,1.1597664288931321e-05,0.5306122448979592,9.278131431145057e-05,1
tiempo_en_casi_colision_s,A* + DWA,A* + SAC-R,200,0.20450000000000002,0.17200000000000004,0.0,0.0,-0.0325,0.0,1215.5,0.8742868729066968,0.17142857142857143,1.0,0
tiempo_en_casi_colision_s,A* + DWA,A* + SAC-PO-TTC,200,0.20450000000000002,0.1285,0.0,0.0,-0.076,0.0,557.5,0.11085020702070365,-0.1111111111111111,0.4434008280828146,0
tiempo_en_casi_colision_s,A* + DWA,A* + SAC-UPO-TTC,200,0.20450000000000002,0.125,0.0,0.0,-0.0795,0.0,837.0,0.24141961120243616,-0.015873015873015872,0.7242588336073085,0
tiempo_en_casi_colision_s,A* + TD3,A* + SAC-R,200,0.37400000000000005,0.17200000000000004,0.0,0.0,-0.20200000000000004,0.0,1363.5,2.4540601819988825e-05,-0.37254901960784315,0.00017178421273992178,1
tiempo_en_casi_colision_s,A* + TD3,A* + SAC-PO-TTC,200,0.37400000000000005,0.1285,0.0,0.0,-0.24550000000000005,0.0,750.0,3.71502086358875e-08,-0.6129032258064516,3.7150208635887495e-07,1
tiempo_en_casi_colision_s,A* + TD3,A* + SAC-UPO-TTC,200,0.37400000000000005,0.125,0.0,0.0,-0.249,0.0,987.0,4.3414519888688814e-08,-0.5686274509803921,3.9073067899819935e-07,1
tiempo_en_casi_colision_s,A* + SAC-R,A* + SAC-PO-TTC,200,0.17200000000000004,0.1285,0.0,0.0,-0.0435,0.0,417.5,0.0522967603111848,-0.22448979591836735,0.3137805618671088,0
tiempo_en_casi_colision_s,A* + SAC-R,A* + SAC-UPO-TTC,200,0.17200000000000004,0.125,0.0,0.0,-0.047,0.0,726.5,0.05375070638801746,-0.23809523809523808,0.3137805618671088,0
tiempo_en_casi_colision_s,A* + SAC-PO-TTC,A* + SAC-UPO-TTC,200,0.1285,0.125,0.0,0.0,-0.0034999999999999953,0.0,607.0,0.956342425964609,0.10204081632653061,1.0,0
ttc_real_minimo_s,A* + DWA,A* + TD3,181,1.4892610724596582,1.1069033090056426,1.5708909711055554,1.0045998005217152,-0.3823577634540156,-0.3694518020099036,3721.0,1.423913423642409e-07,-0.3413173652694611,5.695653694569635e-07,1
ttc_real_minimo_s,A* + DWA,A* + SAC-R,181,1.4892610724596582,2.0313512366428808,1.5708909711055554,1.9072996838881158,0.5420901641832225,0.38014640759131546,5321.0,0.0003931616764919687,0.3028571428571429,0.0007863233529839374,1
ttc_real_minimo_s,A* + DWA,A* + SAC-PO-TTC,181,1.4892610724596582,2.627421729615491,1.5708909711055554,2.1942758922054004,1.1381606571558327,0.6846071723802178,2911.0,5.808576109025625e-13,0.5,4.066003276317938e-12,1
ttc_real_minimo_s,A* + DWA,A* + SAC-UPO-TTC,181,1.4892610724596582,3.1815723272837872,1.5708909711055554,2.7530303258084663,1.6923112548241286,1.199968138628227,2328.0,5.507545012823794e-15,0.5930232558139535,4.406036010259035e-14,1
ttc_real_minimo_s,A* + TD3,A* + SAC-R,181,1.1069033090056426,2.0313512366428808,1.0045998005217152,1.9072996838881158,0.9244479276372383,0.6805946084836267,2581.0,1.7746163324451176e-11,0.5185185185185185,1.0647697994670706e-10,1
ttc_real_minimo_s,A* + TD3,A* + SAC-PO-TTC,181,1.1069033090056426,2.627421729615491,1.0045998005217152,2.1942758922054004,1.5205184206098483,1.1401958322650076,1052.0,2.5806523194477957e-21,0.7590361445783133,2.5806523194477957e-20,1
ttc_real_minimo_s,A* + TD3,A* + SAC-UPO-TTC,181,1.1069033090056426,3.1815723272837872,1.0045998005217152,2.7530303258084663,2.0746690182781444,1.555658362752731,1106.0,1.5220127557829057e-20,0.7439024390243902,1.369811480204615e-19,1
ttc_real_minimo_s,A* + SAC-R,A* + SAC-PO-TTC,181,2.0313512366428808,2.627421729615491,1.9072996838881158,2.1942758922054004,0.5960704929726102,0.21303054400462296,4371.0,2.4058923846995587e-05,0.2694610778443114,7.217677154098676e-05,1
ttc_real_minimo_s,A* + SAC-R,A* + SAC-UPO-TTC,181,2.0313512366428808,3.1815723272837872,1.9072996838881158,2.7530303258084663,1.150221090640906,0.6551309816961841,3229.0,8.920662372328657e-10,0.44047619047619047,4.4603311861643285e-09,1
ttc_real_minimo_s,A* + SAC-PO-TTC,A* + SAC-UPO-TTC,181,2.627421729615491,3.1815723272837872,2.1942758922054004,2.7530303258084663,0.5541505976682957,0.3121309780905923,5111.0,0.0011467949435889952,0.1952662721893491,0.0011467949435889952,1
