semilla,metodo_a,resultado_a,metodo_b,resultado_b
170073,A* + TD3,meta,A* + SAC-UPO-TTC,colision_estatica
170074,A* + TD3,colision_estatica,A* + SAC-UPO-TTC,meta
170075,A* + TD3,colision_dinamica,A* + SAC-UPO-TTC,meta
170076,A* + TD3,colision_dinamica,A* + SAC-UPO-TTC,meta
170077,A* + TD3,meta,A* + SAC-UPO-TTC,colision_dinamica
170080,A* + TD3,colision_dinamica,A* + SAC-UPO-TTC,meta
170085,A* + TD3,colision_dinamica,A* + SAC-UPO-TTC,meta
170086,A* + TD3,colision_dinamica,A* + SAC-UPO-TTC,meta
170087,A* + TD3,meta,A* + SAC-UPO-TTC,colision_estatica
170089,A* + TD3,colision_dinamica,A* + SAC-UPO-TTC,meta
170090,A* + TD3,meta,A* + SAC-UPO-TTC,colision_estatica
170092,A* + TD3,colision_dinamica,A* + SAC-UPO-TTC,meta
170094,A* + TD3,meta,A* + SAC-UPO-TTC,timeout
170097,A* + TD3,meta,A* + SAC-UPO-TTC,colision_dinamica
170099,A* + TD3,meta,A* + SAC-UPO-TTC,colision_dinamica
170100,A* + TD3,colision_dinamica,A* + SAC-UPO-TTC,meta
170109,A* + TD3,meta,A* + SAC-UPO-TTC,colision_dinamica
170112,A* + TD3,meta,A* + SAC-UPO-TTC,fuera_mapa
170117,A* + TD3,colision_dinamica,A* + SAC-UPO-TTC,meta
170118,A* + TD3,colision_dinamica,A* + SAC-UPO-TTC,meta
170120,A* + TD3,colision_dinamica,A* + SAC-UPO-TTC,meta
170123,A* + TD3,colision_dinamica,A* + SAC-UPO-TTC,meta
170132,A* + TD3,meta,A* + SAC-UPO-TTC,colision_dinamica
170134,A* + TD3,colision_dinamica,A* + SAC-UPO-TTC,meta
170139,A* + TD3,colision_dinamica,A* + SAC-UPO-TTC,meta
170140,A* + TD3,colision_dinamica,A* + SAC-UPO-TTC,meta
170143,A* + TD3,colision_dinamica,A* + SAC-UPO-TTC,meta
170148,A* + TD3,colision_dinamica,A* + SAC-UPO-TTC,meta
